Master Record Number,Date,Weekend?,Hour,Collision Type,Injury Type,Primary Factor,Reported_Location,Latitude,Longitude,Location
902509295,2015-08-06,Weekday,1200,2-Car,No injury/unknown,UNSAFE BACKING,E 3RD,39.164465,-86.54881114,"39.164465,-86.54881114"
902509363,2015-08-01,Weekend,1400,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,1ST & S COLLEGE,39.17688,-86.534736,"39.17688,-86.534736"
902509414,2015-08-06,Weekday,1200,2-Car,No injury/unknown,UNSAFE BACKING,DANIELS,39.16671172,-86.59908838,"39.16671172,-86.59908838"
902510278,2015-08-02,Weekday,900,1-Car,No injury/unknown,UNSAFE BACKING,W 6TH & W JACKSON,39.16768,-86.539808,"39.16768,-86.539808"
902510325,2015-08-07,Weekend,1000,2-Car,No injury/unknown,OTHER (VEHICLE) - EXPLAIN IN NARRATIVE,410 E 6TH & N GRANT,39.167712,-86.529696,"39.167712,-86.529696"
902510654,2015-08-02,Weekday,600,2-Car,Incapacitating,DRIVER ASLEEP OR FATIGUED,SR37 & TAPP,39.13652039,-86.55490112,"39.13652039,-86.55490112"
902510737,2015-08-01,Weekend,1300,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,COTTAGE GROVE & INDIANA,39.17264,-86.52704,"39.17264,-86.52704"
902510766,2015-08-02,Weekday,1200,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,E 15TH & N WALNUTST,39.176848,-86.533424,"39.176848,-86.533424"
902511055,2015-08-02,Weekday,1500,1-Car,No injury/unknown,OTHER (VEHICLE) - EXPLAIN IN NARRATIVE,RENWICK,39.14958954,-86.50096893,"39.14958954,-86.50096893"
902511581,2015-08-02,Weekday,1600,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,LOVE & SR46W,39.219152,-86.602304,"39.219152,-86.602304"
902511654,2015-08-02,Weekday,1700,2-Car,No injury/unknown,UNSAFE BACKING,1ST & WALKER,39.15946975,-86.54602886,"39.15946975,-86.54602886"
902512194,2015-09-03,Weekday,700,2-Car,No injury/unknown,UNSAFE SPEED,10TH & JORDAN,39.171552,-86.515728,"39.171552,-86.515728"
902512396,2015-09-03,Weekday,1000,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,COLLEGE MALL,39.16424,-86.4984,"39.16424,-86.4984"
902512670,2015-08-02,Weekday,1500,Cyclist,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,E COVENANTER & SO COLLEGE MALL,39.155152,-86.497888,"39.155152,-86.497888"
902512796,2015-09-03,Weekday,1300,Bus,No injury/unknown,UNSAFE LANE MOVEMENT,BALFOUR & N JORDAN EXTENSION,39.18240585,-86.51259862,"39.18240585,-86.51259862"
902513090,2015-09-03,Weekday,1600,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,HICKORY LEAF & SR45W,39.145152,-86.5776,"39.145152,-86.5776"
902513094,2015-09-03,Weekday,1300,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,W 3RD,39.164752,-86.573104,"39.164752,-86.573104"
902513122,2015-09-03,Weekday,1300,2-Car,No injury/unknown,UNSAFE BACKING,S COLLEGE,39.17088686,-86.534768,"39.17088686,-86.534768"
902513181,2015-09-03,Weekday,1700,2-Car,No injury/unknown,IMPROPER PASSING,S COLLEGE,39.16115717,-86.53485253,"39.16115717,-86.53485253"
902513384,2015-09-03,Weekday,1200,2-Car,No injury/unknown,UNSAFE LANE MOVEMENT,DANIELS,39.16809464,-86.6001892,"39.16809464,-86.6001892"
902513424,2015-09-03,Weekday,1000,2-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,6TH & GRANT,39.16743734,-86.529696,"39.16743734,-86.529696"
902513438,2015-09-03,Weekday,900,2-Car,Incapacitating,FAILURE TO YIELD RIGHT OF WAY,BLUE RIDGE & WALNUT,39.19605806,-86.53409885,"39.19605806,-86.53409885"
902513650,2015-09-04,Weekday,1200,2-Car,No injury/unknown,LEFT OF CENTER,GRIMES & WALNUT,39.15335029,-86.53371021,"39.15335029,-86.53371021"
902513651,2015-09-03,Weekday,1500,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,N MORTON & W 11TH,39.173216,-86.536,"39.173216,-86.536"
