Master Record Number,Date,Weekend?,Hour,Collision Type,Injury Type,Primary Factor,Reported_Location,Latitude,Longitude,Location,Number of Bars
902497206,2015-08-07,Weekend,2000,1-Car,No injury/unknown,UNSAFE BACKING,SR446S,39.135648,-86.462248,"39.135648,-86.462248",0
902497207,2015-08-01,Weekend,300,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,SR37S,39.08384,-86.540768,"39.08384,-86.540768",0
902497208,2015-08-02,Weekday,100,1-Car,Non-incapacitating,ANIMAL/OBJECT IN ROADWAY,SR37S & WEST CHURCH,39.21290864,-86.53874969,"39.21290864,-86.53874969",0
902497370,2015-08-02,Weekday,700,Bus,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,SR37 & SR45W,39.148144,-86.572992,"39.148144,-86.572992",1
902497750,2015-08-02,Weekday,1200,2-Car,No injury/unknown,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,S VICTOR,39.10649041,-86.55034722,"39.10649041,-86.55034722",0
902497927,2015-08-02,Weekday,1600,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,S COLLEGE & W 2ND,39.16144,-86.534848,"39.16144,-86.534848",42
902497937,2015-08-02,Weekday,1700,2-Car,Non-incapacitating,FOLLOWING TOO CLOSELY,3RD & COLLEGE,39.16464,-86.534816,"39.16464,-86.534816",42
902497943,2015-08-02,Weekday,1700,2-Car,No injury/unknown,UNSAFE BACKING,E 3RD,39.16423674,-86.49805388,"39.16423674,-86.49805388",5
902497994,2015-08-02,Weekday,1700,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,S COLLEGE & W 4TH,39.165664,-86.5348,"39.165664,-86.5348",42
902498022,2015-08-02,Weekday,1900,2-Car,No injury/unknown,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,OUTBACK & SR46W,39.2125206,-86.59179687,"39.2125206,-86.59179687",0
902498031,2015-08-02,Weekday,2000,2-Car,Non-incapacitating,FOLLOWING TOO CLOSELY,LIBERTY & WEST 3RD STREET,39.1381741,-86.57913006,"39.1381741,-86.57913006",1
902498215,2015-08-02,Weekday,600,Moped/Motorcycle,No injury/unknown,ANIMAL/OBJECT IN ROADWAY,FAIRFAX & SCOTT,39.0583653,-86.498432,"39.0583653,-86.498432",0
902498240,2015-07-04,Weekday,1300,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,GRANT & SR46W,39.23836136,-86.62767791,"39.23836136,-86.62767791",1
902498265,2015-08-03,Weekday,1100,2-Car,No injury/unknown,IMPROPER TURNING,E 2ND,39.16144,-86.53076506,"39.16144,-86.53076506",43
902498470,2015-08-02,Weekday,1800,1-Car,Non-incapacitating,RAN OFF ROAD RIGHT,E SAMPLE & N OLD STATE ROAD 37,39.25864,-86.5012,"39.25864,-86.5012",0
902498510,2015-08-06,Weekday,1600,2-Car,Incapacitating,FAILURE TO YIELD RIGHT OF WAY,SOUTH KNIGHTRIDGE & SR446S,39.14420245,-86.46687098,"39.14420245,-86.46687098",0
902498576,2015-08-03,Weekday,1500,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,SOUTH LEONARD SPRINGS & WEST STATE 45,39.142048,-86.582592,"39.142048,-86.582592",1
